Date,Close
8/22/2017,59.04
8/23/2017,59
8/24/2017,58.83
8/25/2017,59.27
8/28/2017,59.47
8/29/2017,59.49
8/30/2017,59.02
8/31/2017,59.5
9/1/2017,59.54
9/5/2017,59.44
9/6/2017,60.07
9/7/2017,60.47
9/8/2017,60.61
9/11/2017,60.81
9/12/2017,60.02
9/13/2017,59.86
9/14/2017,59.91
9/15/2017,60.38
9/18/2017,60.63
9/19/2017,60.6
9/20/2017,59.9
9/21/2017,58.99
9/22/2017,58.61
9/25/2017,58.5
9/26/2017,58.26
9/27/2017,58.11
9/28/2017,58.34
9/29/2017,59.04
10/2/2017,59.22
10/3/2017,59.15
10/4/2017,59.21
10/5/2017,59.2
10/6/2017,58.52
10/9/2017,58.51
10/10/2017,59.28
10/11/2017,59.75
10/12/2017,60.79
10/13/2017,61.32
10/16/2017,61.18
10/17/2017,60.98
10/18/2017,61.39
10/19/2017,57.65
10/20/2017,56.32
10/23/2017,55.89
10/24/2017,55.74
10/25/2017,55.89
10/26/2017,57
10/27/2017,56.97
10/30/2017,56.93
10/31/2017,57.96
11/1/2017,57.56
11/2/2017,57.14
11/3/2017,57.27
11/6/2017,57.08
11/7/2017,56.85
11/8/2017,57.47
11/9/2017,57.33
11/10/2017,57.28
11/13/2017,57.11
11/14/2017,57.08
11/15/2017,56.71
11/16/2017,56.96
11/17/2017,56.22
11/20/2017,56.53
11/21/2017,57.16
11/22/2017,56.93
11/24/2017,57.86
11/27/2017,57.76
11/28/2017,58.61
11/29/2017,57.94
11/30/2017,57.74
12/1/2017,57.2
12/4/2017,57.36
12/5/2017,57.26
12/6/2017,57.57
12/7/2017,57.37
12/8/2017,57.69
12/11/2017,57.43
12/12/2017,57.31
12/13/2017,57.47
12/14/2017,56.59
12/15/2017,57.1
12/18/2017,57.32
12/19/2017,56.93
12/20/2017,56.47
12/21/2017,56.29
12/22/2017,56.38
12/26/2017,56.53
12/27/2017,56.45
12/28/2017,56.39
12/29/2017,56.32
1/2/2018,55.81
1/3/2018,55.71
1/4/2018,56.11
1/5/2018,56.59
1/8/2018,56.56
1/9/2018,55.91
1/10/2018,55.09
1/11/2018,54.98
1/12/2018,55.49
1/16/2018,56.09
1/17/2018,56.52
1/18/2018,56.76
1/19/2018,57.71
1/22/2018,57.67
1/23/2018,57.91
1/24/2018,58.24
1/25/2018,57.51
1/26/2018,57.53
1/29/2018,56.91
1/30/2018,57.49
1/31/2018,57.49
2/1/2018,58.54
2/2/2018,57.83
2/5/2018,55.09
2/6/2018,55.77
2/7/2018,54.72
2/8/2018,53.7
2/9/2018,53.53
2/12/2018,54.51
2/13/2018,54.08
2/14/2018,54.34
2/15/2018,54.74
2/16/2018,54.59
2/20/2018,53.32
2/21/2018,52.78
2/22/2018,53.01
2/23/2018,53.77
2/26/2018,54.76
2/27/2018,52.8
2/28/2018,52.3
3/1/2018,51.96
3/2/2018,52.48
3/5/2018,53.14
3/6/2018,52.99
3/7/2018,53.58
3/8/2018,54.51
3/9/2018,54.98
3/12/2018,54.89
3/13/2018,53.87
3/14/2018,53.83
3/15/2018,52.81
